Source Name,ALUMINIUM,BRENT OIL,COPPER,GOLD,HENRY HUB,NICKEL,PLATINUM,SILVER,THERMAL COAL,WTI OIL,ZINC
BMO,2050.2990382740004,60.0,7142.977294632001,1331.0,2.75,12125.4244199,900.0,15.38,83.7,54.0,2380.9924315440003
BOAML,1830.0,60.0,5754.065042898,1544.0,2.65,17372.426259784002,1125.0,17.54,68.0,54.0,2248.7150742360004
CITIGROUP,1869.0,59.0,6625.0,1465.0,2.6,14000.0,965.0,17.0,86.0,54.0,2150.0
COMMONWEALTH BANK,1785.7443236580002,60.0,5687.926364244,1666.0,2.83,13558.42912407,850.0,18.0,68.0,56.0,2270.7613004540003
DEUTSCHE BANK,1856.2922475556002,65.0,6225.8542839632,1438.0,2.5,11499.311595308802,875.0,17.8,75.0,56.0,2288.3982814284
GOLDMAN SACHS,1950.0,60.0,7050.0,1475.0,2.75,13000.0,850.0,16.39,60.0,55.5,2250.0
JP MORGAN,1873.92922853,62.0,6018.619757514,1438.0,2.54,12897.04233753,980.0,15.6,77.0,56.0,2100.0
TD SECURITIES,2081.0,71.0,6349.313150784,1444.0,3.0,13624.567802724001,1050.0,17.9,98.0,60.0,2888.0556345580003
